"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1835435","e6c33b270b28dd600f2c818a95df08ada8bd78212d741ba882a15eee9d1126e12b1a477a314f605c69312560649f05ba0eb8d6d7c1b00857b660619ba993f782","2024-06-05T16:00:00.000","2","DRIVER","1","1748368",,"DODGE","AVENGER","IL","2013","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD","Y",,"2",,,,,"Y","Y",,,"Y","Y",,,,,"Y","Y",,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835436","e6c33b270b28dd600f2c818a95df08ada8bd78212d741ba882a15eee9d1126e12b1a477a314f605c69312560649f05ba0eb8d6d7c1b00857b660619ba993f782","2024-06-05T16:00:00.000","3","PARKED",,"1748379",,"NISSAN","ALTIMA","IL","2005","NONE","PASSENGER","NOT IN USE","S","PARKED",,,"0",,,,,,,,,"Y","Y","Y",,,,,"Y",,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835437","e6c33b270b28dd600f2c818a95df08ada8bd78212d741ba882a15eee9d1126e12b1a477a314f605c69312560649f05ba0eb8d6d7c1b00857b660619ba993f782","2024-06-05T16:00:00.000","4","PARKED",,"1748386",,"DODGE","CHARGER","IL","2022","NONE","PASSENGER","NOT IN USE","S","PARKED",,,"0",,,,,"Y",,,,,"Y",,,,,,"Y",,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835414","48b41865183f9115e9a5ab7ff287168a05c42cee3815e05996ece9d68ffe8497b191114bd84715a0fe1d89e1bfc95baa9d227a67c8af50daa43c01a4db0d4185","2024-06-05T15:56:00.000","1","DRIVER",,"1748348",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","W","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835415","48b41865183f9115e9a5ab7ff287168a05c42cee3815e05996ece9d68ffe8497b191114bd84715a0fe1d89e1bfc95baa9d227a67c8af50daa43c01a4db0d4185","2024-06-05T15:56:00.000","2","PARKED",,"1748356",,"DODGE","CHALLENGER","IL","2016","UNKNOWN","PASSENGER","PERSONAL","W","PARKED",,,"0",,,,,"Y",,"Y",,,,,,,,"Y","Y",,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835442","e3bac48bbcc4d202e5763c45e0c55329f29664565632294dab0f37724091846294b1a175daeebbe2ec75b649fd29549d050e2e31f0ecca1fee8217cac5c5f85a","2024-06-05T15:52:00.000","1","DRIVER",,"1748369",,"CHEVROLET","IMPALA","IL","2014","NONE","PASSENGER","PERSONAL","S","TURNING RIGHT","Y",,"1",,"PRIVATE TOW",,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835443","e3bac48bbcc4d202e5763c45e0c55329f29664565632294dab0f37724091846294b1a175daeebbe2ec75b649fd29549d050e2e31f0ecca1fee8217cac5c5f85a","2024-06-05T15:52:00.000","2","DRIVER","1","1748373",,"MERCEDES-BENZ","OTHER (EXPLAIN IN NARRATIVE)","IL","2020","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"2",,,,,"Y","Y","Y","Y",,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835430","36293445ad0130ad3fa605e2d9dfb9ccfccb9a1d178dd3df1dbfea73c7b5127c528023392d0e9583e70f40f2d4cba741e3c3d3d81a85a1e80bc96539142a04d8","2024-06-05T15:45:00.000","1","DRIVER",,"1748357",,"INTERNATIONAL HARVESTER","INTERNATIONAL HARVESTER","IL","2007","UNKNOWN","TRUCK - SINGLE UNIT","OTHER","S","BACKING",,,"1",,,,"Y",,,,,,,,,,,,,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835431","36293445ad0130ad3fa605e2d9dfb9ccfccb9a1d178dd3df1dbfea73c7b5127c528023392d0e9583e70f40f2d4cba741e3c3d3d81a85a1e80bc96539142a04d8","2024-06-05T15:45:00.000","2","DRIVER",,"1748362",,"GENESIS","G70","IL","2019","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835755","cc9b80c13652ac9639a7e057e3210b945cfac187fe62245f08bf62431594aab574808d959409a17476460b68c5b8fe89db77ffc1b20551e394a4f593d3982807","2024-06-05T15:42:00.000","1","DRIVER",,"1748675","N","MERCEDES-BENZ","SPRINTER","ME","2023","UNKNOWN","TRUCK - SINGLE UNIT","UNKNOWN/NA","N","CHANGING LANES",,,"1",,,,,,,,,,,"Y","Y",,,,,,"SIDE-LEFT-REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
